673	130	0	306	0	52	548	0	632	0	0	0	308	317	0	532	142	547	279	0
79	495	642	610	219	242	445	380	0	594	661	0	59	19	81	106	235	0	0	688
0	0	0	48	0	456	0	445	0	671	0	207	0	604	0	258	227	0	0	96
26	130	511	424	469	295	405	169	0	315	0	63	331	297	489	0	106	98	535	548
59	0	9	15	248	109	426	501	0	0	0	88	0	570	131	305	204	147	336	0
687	413	0	0	494	42	582	207	27	0	0	0	508	67	677	404	0	197	53	21
298	618	0	130	342	0	470	365	106	66	279	470	0	208	123	581	0	331	376	624
0	0	518	241	512	0	0	0	28	689	642	0	608	679	0	192	408	134	276	416
196	0	373	198	654	546	58	300	0	0	339	0	0	496	0	0	330	0	346	0
553	174	0	560	517	130	542	134	208	362	0	0	0	651	534	0	361	366	513	0
0	14	474	82	17	246	256	475	462	124	274	126	441	0	0	155	237	127	637	602
0	262	0	0	380	588	0	297	0	672	4	0	139	0	57	0	448	0	263	608
303	29	0	0	464	0	0	300	115	211	213	502	304	15	0	485	467	153	3	0
15	0	0	290	643	555	124	655	0	0	190	530	0	194	0	244	0	346	223	656
37	466	0	0	232	265	111	0	333	0	0	0	579	0	413	554	224	450	0	106
640	111	0	0	0	66	123	530	0	0	625	49	0	598	0	544	0	416	0	480
239	140	0	327	0	496	0	218	246	649	87	495	664	648	0	213	177	262	689	0
539	0	164	252	0	582	525	574	0	248	0	458	502	0	0	388	416	225	0	246
521	0	535	0	262	636	408	622	379	621	135	0	339	0	349	406	0	155	0	164
0	0	474	407	0	477	0	0	329	532	686	0	269	0	516	513	461	375	418	0
