673	130	-32	306	-277	52	548	-118	632	-23	-254	-37	308	317	-101	532	142	547	279	-58
79	495	642	610	219	242	445	380	-216	594	661	-282	59	19	81	106	235	-146	-172	688
-179	-139	-237	48	-154	456	-159	445	-249	671	-11	207	-246	604	-91	258	227	-245	-76	96
26	130	511	424	469	295	405	169	-277	315	-212	63	331	297	489	-240	106	98	535	548
59	-136	9	15	248	109	426	501	-233	-1	-295	88	-263	570	131	305	204	147	336	-199
687	413	-16	-270	494	42	582	207	27	-178	-182	-188	508	67	677	404	-259	197	53	21
298	618	-119	130	342	-104	470	365	106	66	279	470	-35	208	123	581	-23	331	376	624
-258	-222	518	241	512	-149	-249	-113	28	689	642	0	608	679	-154	192	408	134	276	416
196	-135	373	198	654	546	58	300	-254	-256	339	-16	-97	496	-225	-256	330	-259	346	-9
553	174	-267	560	517	130	542	134	208	362	-96	-130	-210	651	534	-149	361	366	513	-85
-276	14	474	82	17	246	256	475	462	124	274	126	441	-58	-63	155	237	127	637	602
-179	262	-192	-252	380	588	-49	297	-65	672	4	-113	139	-216	57	-293	448	-274	263	608
303	29	-180	-111	464	-138	-261	300	115	211	213	502	304	15	-290	485	467	153	3	-283
15	-245	-98	290	643	555	124	655	-167	-51	190	530	-277	194	-221	244	-287	346	223	656
37	466	-188	-50	232	265	111	-267	333	-235	-178	-5	579	-163	413	554	224	450	-169	106
640	111	-230	-196	-211	66	123	530	-256	-282	625	49	-146	598	-267	544	-281	416	-281	480
239	140	-76	327	-49	496	-29	218	246	649	87	495	664	648	-34	213	177	262	689	-288
539	-26	164	252	-118	582	525	574	-143	248	-31	458	502	-93	-110	388	416	225	-147	246
521	-243	535	-69	262	636	408	622	379	621	135	-198	339	-115	349	406	-275	155	-153	164
-165	-139	474	407	-124	477	-69	-169	329	532	686	-157	269	-222	516	513	461	375	418	-132
